name,id,avg_household_income,median_income,percent_poverty,per_capita_income
17143000900,17143000900,19322,13687,63.5,9547
17143001200,17143001200,55310,20601,36.9,24837
17143001300,17143001300,38901,21932,39.5,13840
17143001500,17143001500,36288,28665,48.3,12481
17143001600,17143001600,56936,27005,20.3,21727
17143001800,17143001800,47827,32586,42.7,19050
17143001900,17143001900,64543,24947,29.9,21089
17143002000,17143002000,103049,77500,11.9,17584
17143002100,17143002100,37625,24289,43.0,14985
17143002200,17143002200,68700,51813,13.9,28797
17143002300,17143002300,72627,59704,15.1,33384
17143002400,17143002400,63018,53021,9.9,26989
17143002500,17143002500,49167,32642,17.9,17337
17143002600,17143002600,62943,44318,9.2,29465
17143002701,17143002701,57929,42444,18.3,25510
17143002702,17143002702,57332,45118,19.2,26752
17143002800,17143002800,67345,51891,4.9,33641
17143002900,17143002900,84204,44092,5.3,40570
17143003000,17143003000,80136,58495,4.4,33326
17143003101,17143003101,117228,82425,4.2,46394
17143003102,17143003102,91807,63921,2.5,44096
17143003200,17143003200,76450,55992,7.0,37186
17143003300,17143003300,181228,93883,2.7,76933
17143003401,17143003401,106751,83026,2.3,42335
17143003402,17143003402,135216,96127,1.4,53935
17143003601,17143003601,70133,59890,1.4,27326
17143003602,17143003602,64356,51455,2.6,27334
17143003700,17143003700,95849,77357,0.8,36012
17143003800,17143003800,82268,60103,4.5,30647
17143003900,17143003900,105828,92926,0.8,37565
17143004000,17143004000,79037,66064,1.7,31377
17143004101,17143004101,109769,73525,2.5,43627
17143004102,17143004102,51974,37800,9.0,23552
17143004200,17143004200,72290,46557,5.0,34202
17143004300,17143004300,55660,40462,14.0,24999
17143004400,17143004400,57342,46673,7.7,24142
17143004500,17143004500,62181,51777,1.8,22088
17143004600,17143004600,69168,51486,3.7,28364
17143004801,17143004801,83066,63375,2.1,32813
17143004802,17143004802,59745,44757,2.5,24823
17143004901,17143004901,81625,59900,1.6,32846
17143004902,17143004902,81097,69924,1.1,32243
17143005000,17143005000,36144,18487,53.4,12309
17145030100,17145030100,53690,45222,9.0,21882
17145030200,17145030200,53752,45823,5.2,16011
17145030300,17145030300,54913,39857,4.2,21747
17145030400,17145030400,47155,32305,8.2,19797
17145030500,17145030500,66805,55049,2.6,27580
17145030600,17145030600,46406,34573,5.5,19579
17147954500,17147954500,82924,69112,1.4,32214
17147954600,17147954600,73346,63859,2.2,30743
17147954700,17147954700,58372,49427,1.8,23995
17147954800,17147954800,72915,65597,1.7,28964
17149952400,17149952400,49838,41250,3.5,20431
17149952500,17149952500,56016,34375,3.3,23226
17149952600,17149952600,55083,42880,1.7,22517
17149952700,17149952700,49446,39871,6.6,19677
17149952800,17149952800,63595,42730,2.2,24856
17151971200,17151971200,47662,42017,4.5,18180
17151971300,17151971300,49569,35993,5.4,21912
17153971000,17153971000,43977,36875,4.5,18881
17153971100,17153971100,49835,30417,5.0,21346
17155954500,17155954500,70592,47036,2.9,29475
17155954600,17155954600,68343,65574,2.2,28565
17157950500,17157950500,63417,48690,5.8,26105
17157950600,17157950600,56844,41829,6.7,24152
17157950700,17157950700,59977,51250,3.0,25069
17157950800,17157950800,68799,56355,4.2,28404
17157950900,17157950900,63563,49574,2.3,24750
17157951000,17157951000,62354,51591,2.0,25014
17157951100,17157951100,52001,38763,4.0,22656
17157951200,17157951200,56190,42442,1.5,9607
17157951300,17157951300,65293,55211,10.5,27318
17159977900,17159977900,72166,58092,3.9,29207
17159978000,17159978000,48246,26200,10.9,21300
17159978100,17159978100,60543,42813,6.2,24883
17159978200,17159978200,49633,33098,6.5,20858
17159978300,17159978300,61917,52710,2.0,25087
17161020100,17161020100,87293,66465,1.2,35067
17161020200,17161020200,64634,44340,3.9,26106
17161020300,17161020300,49940,38100,2.9,22270
17161020400,17161020400,65261,48075,2.7,20848
17161020600,17161020600,42408,29818,11.2,15220
17161020700,17161020700,46922,34467,18.0,18428
17161020800,17161020800,60353,54963,2.9,26743
17161020900,17161020900,68919,57464,3.3,29663
17161021000,17161021000,52673,37554,13.3,25373
17161021100,17161021100,83203,38793,6.4,33685
17161021200,17161021200,78198,56851,2.4,36354
17161021300,17161021300,66657,43538,5.4,31261
17161021400,17161021400,48812,38721,7.8,20751
17161021500,17161021500,69733,48199,5.8,31430
17161021600,17161021600,68725,49146,12.5,26466
17161021700,17161021700,48249,39365,14.0,19235
17161021800,17161021800,88194,64506,2.5,38303
17161021900,17161021900,45657,32000,6.8,22417
17161022000,17161022000,77935,67771,3.3,30576
17161022100,17161022100,70987,58854,5.4,35025
17161022200,17161022200,50723,41642,14.2,19068
17161022300,17161022300,37760,34526,14.9,13824
17161022600,17161022600,30295,23061,37.4,12506
17161022800,17161022800,54842,45990,7.2,15799
17161022900,17161022900,60040,52402,9.5,28805
17161023000,17161023000,92847,63078,1.8,42190
17161023100,17161023100,91645,72527,1.2,38872
17161023200,17161023200,68070,49328,7.2,32812
17161023300,17161023300,53289,39958,22.4,21343
17161023500,17161023500,64053,37109,18.1,22379
17161023600,17161023600,39989,19916,43.7,13497
17161023700,17161023700,49756,34361,26.0,19372
17161024000,17161024000,85800,69505,1.6,34562
17161024101,17161024101,85397,62994,1.0,35151
17161024102,17161024102,73763,64764,2.3,29119
17161024103,17161024103,87150,64907,3.0,34916
17161024200,17161024200,61381,45579,3.0,26633
17161024300,17161024300,42415,37526,4.0,20184
17161024400,17161024400,36691,26422,25.0,18695
17161024500,17161024500,31046,20556,14.4,13202
17163500400,17163500400,23669,12830,51.9,12198
17163500500,17163500500,34503,17463,47.2,10190
17163500900,17163500900,25445,14441,57.5,9930
17163501100,17163501100,36736,18377,40.5,13768
17163501200,17163501200,35303,20778,34.2,13503
17163501300,17163501300,34471,26190,11.7,11903
17163501400,17163501400,39343,25509,27.0,14214
17163501501,17163501501,62407,48446,1.9,24453
17163501502,17163501502,86157,56982,3.8,34744
17163501602,17163501602,50991,40435,9.6,22514
17163501603,17163501603,52663,36060,12.4,21973
17163501604,17163501604,53791,41199,5.9,26010
17163501605,17163501605,75209,65987,2.3,32375
17163501700,17163501700,45171,41429,8.6,15956
17163501800,17163501800,52581,35841,7.1,23597
17163501900,17163501900,66948,53483,9.6,28721
17163502100,17163502100,44100,32092,11.9,13391
17163502200,17163502200,36334,24191,38.8,12503
17163502300,17163502300,50805,32095,11.3,18279
17163502401,17163502401,33946,28333,45.6,10909
17163502404,17163502404,48085,32850,2.1,14815
17163502500,17163502500,30528,17585,53.5,12072
17163502602,17163502602,58283,34861,15.6,18979
17163502603,17163502603,43762,26471,9.3,14251
17163502700,17163502700,34494,16600,16.0,13207
17163502800,17163502800,34012,21064,15.5,12499
17163502900,17163502900,52954,36701,3.9,19835
17163503100,17163503100,63717,46806,2.9,25126
17163503202,17163503202,70262,58649,2.0,28657
17163503203,17163503203,91120,72413,0.9,35984
17163503211,17163503211,105398,70451,1.5,45515
17163503301,17163503301,49123,37909,4.3,21723
17163503304,17163503304,73738,59240,6.7,29285
17163503322,17163503322,88616,73196,1.5,35841
17163503323,17163503323,114445,83141,1.5,44385
17163503324,17163503324,88433,67619,5.4,33160
17163503332,17163503332,67140,52458,6.4,28565
17163503334,17163503334,68098,50260,1.6,28421
17163503402,17163503402,74968,58834,3.3,32968
17163503404,17163503404,109218,97190,0.7,36827
