name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Elkhart village,1723269,81530,56907,0.2,35430
Elkville village,1723373,48299,37910,4.0,20038
Elliott village,1723425,63482,52661,1.5,25608
Ellis Grove village,1723503,62354,51591,0.8,26110
Ellisville village,1723529,57469,41815,0.7,20952
Ellsworth village,1723555,87419,59086,0.4,37657
Elmhurst city,1723620,127166,98030,2.5,45438
Elmwood city,1723698,79037,66064,2.4,31283
Elmwood Park village,1723724,75168,54686,5.9,28580
Elsah village,1723776,68926,56784,0.9,11061
Elvaston village,1723841,52903,38438,1.2,23405
Elwood village,1723945,85306,67396,2.1,32940
Emden village,1723971,70757,56860,0.9,30783
Emington village,1724062,67031,54651,0.1,24062
Energy village,1724166,65392,44844,3.2,28873
Enfield village,1724179,60926,51774,2.3,25556
Equality village,1724348,49086,35921,3.4,21862
Erie village,1724374,65756,54940,3.9,26598
Essex village,1724452,84639,65135,0.7,30288
Eureka city,1724543,68087,55787,9.0,24290
Evanston city,1724582,112468,68122,11.0,45368
Evansville village,1724608,63563,49574,1.8,24845
Evergreen Park village,1724634,88562,66946,6.7,32084
Ewing village,1724673,58402,44867,0.8,23970
Exeter village,1724699,74401,55979,0.2,36628
Fairbury city,1724764,70406,59947,3.6,29066
Fairfield city,1724816,48736,33050,11.0,23025
Fairmont CDP,1724920,66484,58176,14.7,22765
Fairmont City village,1724933,44208,32196,4.5,13338
Fairmount village,1724985,66590,58113,1.0,26449
Fairview Heights city,1725141,74954,59076,3.2,32272
Fairview village,1725063,63388,54381,1.7,25015
Farina village,1725375,59766,43606,1.2,24922
Farmer City city,1725414,61910,48105,5.4,24770
Farmersville village,1725440,80749,50086,4.3,35244
Farmington city,1725531,58392,47660,4.0,23710
Fayetteville village,1725713,69758,53833,0.7,27065
Ferris village,1725895,55857,37750,1.0,23274
Fidelity village,1725960,62611,53355,0.3,24166
Fieldon village,1726012,69222,60938,0.8,28963
Fillmore village,1726077,54847,43942,0.6,23268
Findlay village,1726116,60647,47092,2.2,27082
Fisher village,1726194,90126,70295,2.6,34354
Fithian village,1726233,62674,52761,1.5,26232
