tract_id,tract_name,pct_female_jobs,pct_male_jobs
1779436,Wayne City village,41.5,58.5
1757043,Owaneco village,24.26,75.74
1733227,Harristown village,47.73,51.82
1746955,Marissa village,38.15,61.85
1713074,Cherry Valley village,55.24,44.71
1750881,Mount Carroll city,61.41,38.59
1716366,Cordova village,29.65,70.15
1758577,Penfield CDP,41.98,59.26
1737894,Island Lake village,46.62,53.38
1764044,Ridott village,15.94,84.06
1777811,Victoria village,55.32,44.68
1730991,Grant Park village,50.52,49.83
1757407,Palos Park village,68.09,31.91
1730510,Goofy Ridge CDP,14.29,85.71
1777148,Valier village,43.08,56.92
1710916,Campus village,41.38,58.62
1735541,Holiday Shores CDP,34.9,65.63
1741651,Lakewood village,53.13,46.88
1715989,Compton village,41.3,58.7
1734384,Herscher village,44.51,55.49
1714455,Cisne village,55.81,44.19
1750777,Mounds city,41.18,59.66
1738869,Kane village,42.86,57.14
1752805,New Salem village,52.94,47.06
1701010,Alsip village,36.25,63.73
1769758,Shorewood village,49.42,50.58
1766800,Ste. Marie village,30.19,67.92
1758343,Pearl village,16.67,83.33
1766209,Royalton village,57.85,42.15
1770889,South Jacksonville village,54.96,45.04
1773040,Strasburg village,46.34,53.66
1727806,Freeburg village,44.3,55.7
1764538,Riverwoods village,54.63,45.37
1712450,Chandlerville village,43.37,56.63
1758369,Pearl City village,44.71,55.29
1728248,Gages Lake CDP,74.81,25.19
1781165,Whiteash village,42.86,57.14
1706587,Bloomingdale village,52.49,47.51
1725063,Fairview village,36.11,61.11
1735385,Hodgkins village,26.63,73.37
1748333,Mendota city,51.83,48.2
1743536,Lincoln city,53.51,46.47
1767756,Sauget village,20.37,75.93
1700295,Adeline village,54.55,54.55
1710591,Camargo village,54.17,45.83
1718225,Cutler village,14.12,84.71
1723698,Elmwood city,47.62,52.38
1754092,North Pekin village,39.81,60.68
1766599,Sailor Springs village,44.44,55.56
1754703,Oak Grove village,29.85,70.15
1708706,Brookport city,52.17,50.0
1763056,Reddick village,26.67,73.33
1755470,Okawville village,37.8,62.2
1703883,Barrington Hills village,48.01,51.92
1735835,Homer Glen village,49.55,50.45
1726194,Fisher village,48.6,51.4
1752155,New Bedford village,46.67,53.33
1711215,Carlock village,36.36,63.64
1718485,Dana village,42.42,57.58
1762588,Raleigh village,18.75,81.25
1769914,Sigel town,36.51,63.49
1704078,Batavia city,44.24,55.77
1744446,London Mills village,56.67,40.0
1723074,Elgin city,54.09,45.92
