tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17201002900,17201002900,525,119,22.67,566,142,25.09,1091,261,23.92
17143002400,17143002400,1536,922,60.03,2131,1456,68.32,3667,2378,64.85
17031827801,17031827801,1704,749,43.96,2288,872,38.11,3992,1621,40.61
17031827802,17031827802,1348,722,53.56,1352,650,48.08,2700,1372,50.81
17201003709,17201003709,672,403,59.97,718,367,51.11,1390,770,55.4
17019000302,17019000302,2044,1255,61.4,1402,866,61.77,3446,2121,61.55
17031480500,17031480500,1216,468,38.49,1353,619,45.75,2569,1087,42.31
17019000301,17019000301,2238,1007,45.0,2561,1099,42.91,4799,2106,43.88
17195000100,17195000100,1550,1048,67.61,1503,748,49.77,3052,1796,58.85
17163502700,17163502700,312,66,21.15,570,296,51.93,882,362,41.04
17031340600,17031340600,271,58,21.4,429,125,29.14,700,183,26.14
17143002200,17143002200,1598,1079,67.52,1686,1191,70.64,3284,2270,69.12
17171970700,17171970700,1276,782,61.29,1504,922,61.3,2777,1706,61.43
17089851302,17089851302,1220,983,80.57,1239,631,50.93,2459,1614,65.64
17089851301,17089851301,1370,977,71.31,1437,785,54.63,2807,1762,62.77
17031520600,17031520600,876,504,57.53,1031,488,47.33,1907,992,52.02
17031807700,17031807700,2493,1609,64.54,2423,1195,49.32,4916,2804,57.04
17031814000,17031814000,1644,930,56.57,1798,792,44.05,3442,1722,50.03
17099963900,17099963900,2001,1028,51.37,2170,985,45.39,4171,2013,48.26
17161021200,17161021200,2110,1597,75.69,1898,949,50.0,4008,2546,63.52
17131040100,17131040100,1848,1340,72.51,1774,907,51.13,3622,2247,62.04
17031650400,17031650400,2280,1422,62.37,2584,1182,45.74,4864,2604,53.54
17031820901,17031820901,2149,1411,65.66,2376,1221,51.39,4525,2630,58.12
17031820902,17031820902,1809,1245,68.82,2043,877,42.93,3852,2122,55.09
17031827100,17031827100,848,263,31.01,1224,542,44.28,2072,805,38.85
17031351100,17031351100,455,52,11.43,896,343,38.28,1351,395,29.24
17115002500,17115002500,2685,2005,74.67,2808,1521,54.17,5493,3526,64.19
17031828000,17031828000,1601,1069,66.77,2396,1410,58.85,3997,2479,62.02
17113005502,17113005502,865,602,69.6,1046,532,50.86,1912,1134,59.31
17143003300,17143003300,1314,672,51.14,1320,382,28.94,2634,1054,40.02
17197880701,17197880701,1715,1104,64.37,1872,1093,58.39,3587,2197,61.25
17031030500,17031030500,2966,2240,75.52,2659,1730,65.06,5625,3970,70.58
17201004002,17201004002,2718,1573,57.87,2609,1587,60.83,5327,3160,59.32
17197880702,17197880702,1069,549,51.36,1088,495,45.5,2157,1044,48.4
17037001500,17037001500,1486,1046,70.39,1545,969,62.72,3031,2015,66.48
17031530502,17031530502,673,157,23.33,644,414,64.29,1317,571,43.36
17031530503,17031530503,2030,986,48.57,2175,1176,54.07,4205,2162,51.41
17031822500,17031822500,1649,1014,61.49,1932,1237,64.03,3581,2251,62.86
17031530501,17031530501,1547,442,28.57,2537,1105,43.56,4084,1547,37.88
17031808702,17031808702,2651,920,34.7,2808,1158,41.24,5459,2078,38.07
17031081800,17031081800,2755,2525,91.65,3920,2988,76.22,6675,5513,82.59
17031050700,17031050700,524,452,86.26,667,547,82.01,1191,999,83.88
17031110300,17031110300,1959,1389,70.9,2215,1331,60.09,4174,2720,65.17
17197880203,17197880203,1481,966,65.23,1474,746,50.61,2955,1712,57.94
17031170900,17031170900,659,475,72.08,690,409,59.28,1349,884,65.53
17031242800,17031242800,613,448,73.08,646,381,58.98,1259,829,65.85
17111870200,17111870200,2599,1747,67.22,2480,1151,46.41,5078,2897,57.05
17031301801,17031301801,1405,904,64.34,1374,569,41.41,2779,1473,53.0
17031301803,17031301803,1861,1176,63.19,1808,640,35.4,3669,1816,49.5
17031301802,17031301802,1435,1060,73.87,1073,601,56.01,2508,1661,66.23
17115000900,17115000900,671,346,51.56,792,302,38.13,1463,648,44.29
17097863604,17097863604,1072,600,55.97,1178,661,56.11,2250,1261,56.04
17097863603,17097863603,1391,919,66.07,1403,790,56.31,2794,1709,61.17
17097863601,17097863601,1408,871,61.86,1302,602,46.24,2707,1473,54.41
17031320400,17031320400,1062,659,62.05,1440,530,36.81,2502,1189,47.52
17031804610,17031804610,846,573,67.73,1166,675,57.89,2012,1248,62.03
17031804611,17031804611,1704,1142,67.02,1999,1309,65.48,3703,2451,66.19
17031770602,17031770602,1931,1166,60.38,1938,944,48.71,3869,2110,54.54
17031770601,17031770601,1334,831,62.29,1409,776,55.07,2743,1607,58.59
17197883603,17197883603,1102,606,54.99,1170,573,48.97,2272,1179,51.89
17025972200,17025972200,1110,755,68.02,1357,479,35.3,2467,1234,50.02
17043845802,17043845802,1489,1066,71.59,1709,907,53.07,3199,1974,61.71
17197883602,17197883602,2265,1584,69.93,2283,1396,61.15,4548,2980,65.52
17031821402,17031821402,1172,710,60.58,1725,893,51.77,2896,1602,55.32
17043845805,17043845805,1568,1031,65.75,1640,1047,63.84,3208,2078,64.78
17031821401,17031821401,1415,736,52.01,1243,548,44.09,2658,1284,48.31
17197883605,17197883605,769,496,64.5,1422,805,56.61,2191,1301,59.38
17043845809,17043845809,1576,1012,64.21,1634,748,45.78,3211,1760,54.81
17043845808,17043845808,1388,1171,84.37,1528,1020,66.75,2915,2191,75.16
17031071500,17031071500,2312,1901,82.22,3080,2270,73.7,5392,4171,77.36
